fecha;abrir;max;min;cerrar;cierre_ajustado;volumen
23 may 2025;3328,00;3363,60;3323,50;3363,60;3363,60;47
22 may 2025;3327,30;3328,00;3282,70;3292,30;3292,30;1210
21 may 2025;3293,40;3317,50;3290,20;3309,30;3309,30;979
20 may 2025;3219,00;3293,20;3207,50;3280,30;3280,30;356
19 may 2025;3234,40;3241,00;3228,30;3228,90;3228,90;266
16 may 2025;3227,70;3228,10;3173,90;3182,00;3182,00;199
15 may 2025;3151,00;3228,10;3125,00;3220,70;3220,70;652
14 may 2025;3233,00;3233,00;3171,70;3181,40;3181,40;3518
13 may 2025;3232,00;3251,40;3223,50;3240,30;3240,30;2424
12 may 2025;3300,70;3300,70;3205,00;3220,00;3220,00;886
9 may 2025;3299,00;3335,50;3299,00;3335,40;3335,40;216
8 may 2025;3390,00;3390,00;3288,70;3296,60;3296,60;200
7 may 2025;3418,70;3418,70;3364,70;3381,40;3381,40;1080
6 may 2025;3365,50;3430,90;3356,80;3411,40;3411,40;2357
5 may 2025;3242,70;3315,70;3239,70;3311,30;3311,30;244
2 may 2025;3239,90;3257,00;3225,00;3231,90;3231,90;1349
1 may 2025;3272,90;3275,00;3198,60;3210,00;3210,00;2131
30 abr 2025;3318,70;3318,70;3268,00;3305,00;3305,00;207
29 abr 2025;3340,00;3340,00;3299,90;3318,80;3318,80;1278
28 abr 2025;3284,50;3332,50;3284,50;3332,50;3332,50;1300
25 abr 2025;3355,50;3355,50;3266,10;3282,40;3282,40;162
24 abr 2025;3305,40;3353,90;3304,90;3332,00;3332,00;560
23 abr 2025;3321,20;3370,30;3256,20;3276,30;3276,30;331
22 abr 2025;3422,20;3485,60;3361,70;3400,80;3400,80;785
21 abr 2025;3342,20;3418,50;3342,20;3406,20;3406,20;78
17 abr 2025;3345,00;3345,00;3287,80;3308,70;3308,70;824
16 abr 2025;3238,30;3334,90;3238,30;3326,60;3326,60;1874
15 abr 2025;3216,00;3218,70;3214,00;3218,70;3218,70;390
14 abr 2025;3215,50;3228,80;3194,50;3204,80;3204,80;263
11 abr 2025;3182,10;3235,00;3182,10;3222,20;3222,20;862
10 abr 2025;3073,90;3167,00;3072,10;3155,20;3155,20;3456
9 abr 2025;2965,80;3090,40;2965,80;3056,50;3056,50;2175
8 abr 2025;2994,00;3014,50;2968,40;2968,40;2968,40;3213
7 abr 2025;3016,40;3050,80;2949,70;2951,30;2951,30;4424
4 abr 2025;3110,50;3127,70;3011,00;3012,00;3012,00;3247
3 abr 2025;3150,00;3166,90;3052,00;3097,00;3097,00;5516
2 abr 2025;3120,70;3168,60;3117,40;3139,90;3139,90;5946
1 abr 2025;3129,70;3149,50;3104,00;3118,90;3118,90;1721
31 mar 2025;3091,00;3132,50;3086,00;3122,80;3122,80;3438
28 mar 2025;3069,70;3094,90;3066,80;3086,50;3086,50;31.206
27 mar 2025;3025,50;3065,00;3025,50;3060,20;3060,20;124.359
26 mar 2025;3033,20;3033,20;3019,50;3020,90;3020,90;83
25 mar 2025;3026,40;3028,80;3023,70;3023,70;3023,70;74
24 mar 2025;3024,30;3024,30;3006,00;3013,10;3013,10;137
21 mar 2025;3034,50;3037,50;3000,90;3018,20;3018,20;151
20 mar 2025;3047,30;3047,30;3034,40;3040,00;3040,00;185
19 mar 2025;3035,20;3050,90;3030,90;3035,90;3035,90;175
18 mar 2025;3006,40;3039,20;3004,40;3035,10;3035,10;428
17 mar 2025;2991,00;3001,50;2989,00;3000,00;3000,00;214
14 mar 2025;2994,40;3004,80;2986,00;2994,50;2994,50;1800
13 mar 2025;2937,10;2988,00;2935,20;2984,30;2984,30;2366
12 mar 2025;2912,00;2939,10;2910,00;2939,10;2939,10;213
11 mar 2025;2884,40;2916,70;2880,40;2912,90;2912,90;197
10 mar 2025;2910,10;2915,10;2880,20;2891,00;2891,00;55
7 mar 2025;2900,90;2927,30;2900,50;2904,70;2904,70;531
6 mar 2025;2904,00;2918,60;2903,80;2916,60;2916,60;870
5 mar 2025;2916,70;2922,00;2893,00;2915,30;2915,30;551
4 mar 2025;2886,10;2927,90;2886,10;2909,60;2909,60;885
3 mar 2025;2872,70;2891,80;2863,40;2890,20;2890,20;423
28 feb 2025;2877,10;2877,10;2834,10;2836,80;2836,80;990
27 feb 2025;2918,50;2922,80;2870,40;2883,20;2883,20;3215
26 feb 2025;2913,50;2917,00;2913,00;2916,80;2916,80;2050
25 feb 2025;2938,70;2943,20;2890,00;2904,50;2904,50;1854
24 feb 2025;2933,10;2957,90;2933,10;2947,90;2947,90;415
21 feb 2025;2938,80;2940,00;2917,30;2937,60;2937,60;570
20 feb 2025;2949,10;2955,80;2924,20;2940,00;2940,00;656
19 feb 2025;2938,70;2946,00;2917,10;2919,40;2919,40;2630
18 feb 2025;2879,20;2936,40;2873,80;2931,60;2931,60;4010
14 feb 2025;2937,30;2944,40;2874,80;2883,60;2883,60;1992
13 feb 2025;2911,30;2937,70;2910,60;2925,90;2925,90;4670
12 feb 2025;2902,00;2912,30;2868,60;2909,00;2909,00;2504
